InstitutionCode;CollectionCode;CatalogNumber;IndividualCount;ScientificName;Family;PreparationType;Tissues;Latitude;Longitude;CoordinateUncertaintyInMeters;HorizontalDatum;Country;StateProvince;County;Island;IslandGroup;Locality;VerbatimElevation;VerbatimDepth;YearCollected;MonthCollected;DayCollected;Collector;GeorefMethod;LatLongComments;BasisOfRecord;Remarks;DateLastModified
FMNH;Fishes;51204;1;Sphyrna tudes;Carcharhinidae;;;;;;;U.S.A.;Florida;;;;Salerno;;;;;;Shark Industries Inc.;;;PreservedSpecimen;;2015-3-6T20:22:05.000CMT
FMNH;Fishes;35598;1;Sphyrna tudes;Carcharhinidae;;;;;;;U.S.A.;Florida;Sarasota*;;;Englewood;;;;;;S. Springer;;;PreservedSpecimen;;2015-3-7T01:41:51.000CMT
OS;Fishes;11073;;Sphyrna tudes;Sphyrnidae;isopropanol - 2;;;;;;Republic of Trinidad and Tobago;;;;;TRINIDAD: MANZILLA BAY;;;1986;3;4;Mounsey, R.;;;;;
OS;Fishes;11076;;Sphyrna tudes;Sphyrnidae;isopropanol - 1;;10.7;-60.616667;;;Republic of Trinidad and Tobago;;;;;Trinidad;;23.5 meters;1986;8;23;Cook, Sid;;;PreservedSpecimen;;20:04.0
OS;Fishes;11079;;Sphyrna tudes;Sphyrnidae;isopropanol - 1;;10.7;-60.616667;;;Republic of Trinidad and Tobago;;;;;Trinidad;;23.5 meters;1986;8;23;Cook, Sid;;;PreservedSpecimen;;54:00.0
ZMUC;Fisk;5825;1;Sphyrna tudes;Sphyrnidae;;;;;;;Brazil;;;;;Brazil, Rio de Janeiro;;;1843;1;16;;;;PreservedSpecimen;;00:00.0
ZMUC;Fisk;14181;1;Sphyrna tudes;Sphyrnidae;;;;;;;Unknown;;;;;Unknown;;;18;;;;;;PreservedSpecimen;;00:00.0
NRM;NRM-Fish;88;1;Sphyrna tudes;Carcharhinidae;;;;;;;;;;;;Unknown;;;;;;;;;;;
UF;Fish;32650;;Sphyrna tudes;Sphyrnidae;IsOH - 1;;4.932294;-52.31062;;;French Guiana;;;;;Cayenne.;;;1977;12;12;Berry, Frederick;FishNet;;PreservedSpecimen;CM.;59:01.0
UF;Fish;42261;;Sphyrna tudes;Sphyrnidae;IsOH - 11;;6.25;-55.75;;;Suriname;;;;;Off Suriname;;0 meters;1968;1;29;R/V Calamar;GPS_loran;;PreservedSpecimen;See field notes.;23:32.0
UF;Fish;42262;;Sphyrna tudes;Sphyrnidae;IsOH - 1;;6.25;-54.75;;;Suriname;;;;;Off Surinam.;;0 meters;1967;8;12;R/V Calamar;GPS_loran;;PreservedSpecimen;See field notes.;23:17.0
UF;Fish;42263;;Sphyrna tudes;Sphyrnidae;EtOH - 1;;10.536913;-60.998186;;;Trinidad and Tobago;Trinidad;;;;Ca 1 mi E of central-east coast, 1.5 mi NE of Manzanilla Point.;;0 meters;1985;3;13;Gruber, S;FishNet;;PreservedSpecimen;;51:51.0
UF;Fish;159997;;Sphyrna tudes;Sphyrnidae;EtOH gift - 1;;;;;;;;;;;;;;;;;;;;;;
UF;Fish;160160;;Sphyrna tudes;Sphyrnidae;EtOH - 5;;10.516667;-61.016667;;;Trinidad and Tobago;Trinidad;;;;Manzanilla Bay, Trinidad;;;1985;9;12;Castro, Jose;;;PreservedSpecimen;Data taken from specimen label. J Seitz/September2005;26:47.0
UF;Fish;160503;;Sphyrna tudes;Sphyrnidae;EtOH - 10;;10.516667;-61.016667;;;Trinidad and Tobago;Trinidad;;;;Manzanilla Bay, Trinidad;;;1985;9;12;Castro, Jose;;;PreservedSpecimen;Data taken from specimen label. J Seitz/September2005;02:53.0
UF;Fish;182204;;Sphyrna tudes;Sphyrnidae;EtOH - 1;;10.7055806;-61.0243861;;;Trinidad and Tobago;Trinidad;;;;Collected around Salybia, Trinidad;;;2009;6;;Local fishermen;;;;;
UF;Fish;182205;;Sphyrna tudes;Sphyrnidae;EtOH - 3;;10.7055806;-61.0243861;;;Trinidad and Tobago;Trinidad;;;;Collected around Salybia, Trinidad;;;2009;6;;Local fishermen;;;;;
