id;dataset_id;decimallongitude;decimallatitude;date_start;date_mid;date_end;date_year;scientificname;originalscientificname;minimumdepthinmeters;maximumdepthinmeters;coordinateuncertaintyinmeters;flags;dropped;absence;shoredistance;bathymetry;sst;sss;marine;brackish;freshwater;terrestrial;taxonrank;aphiaid;redlist_category;superdomain;domain;kingdom;subkingdom;infrakingdom;phylum;phylum_division;subphylum_subdivision;subphylum;infraphylum;parvphylum;gigaclass;megaclass;superclass;class;subclass;infraclass;subterclass;superorder;order;suborder;infraorder;parvorder;superfamily;family;subfamily;supertribe;tribe;subtribe;genus;subgenus;section;subsection;series;species;subspecies;natio;variety;subvariety;forma;subforma;type;modified;language;license;rightsholder;accessrights;bibliographiccitation;references;institutionid;collectionid;datasetid;institutioncode;collectioncode;datasetname;ownerinstitutioncode;basisofrecord;informationwithheld;datageneralizations;dynamicproperties;materialsampleid;occurrenceid;catalognumber;occurrenceremarks;recordnumber;recordedby;recordedbyid;individualcount;organismquantity;organismquantitytype;sex;lifestage;reproductivecondition;behavior;establishmentmeans;occurrencestatus;preparations;disposition;othercatalognumbers;associatedmedia;associatedreferences;associatedsequences;associatedtaxa;organismid;organismname;organismscope;associatedoccurrences;associatedorganisms;previousidentifications;organismremarks;eventid;parenteventid;samplingprotocol;samplesizevalue;samplesizeunit;samplingeffort;eventdate;eventtime;startdayofyear;enddayofyear;year;month;day;verbatimeventdate;habitat;fieldnumber;fieldnotes;eventremarks;locationid;highergeographyid;highergeography;continent;waterbody;islandgroup;island;country;countrycode;stateprovince;county;municipality;locality;verbatimlocality;verbatimelevation;minimumelevationinmeters;maximumelevationinmeters;verbatimdepth;minimumdistanceabovesurfaceinmeters;maximumdistanceabovesurfaceinmeters;locationaccordingto;locationremarks;verbatimcoordinates;verbatimlatitude;verbatimlongitude;verbatimcoordinatesystem;verbatimsrs;geodeticdatum;coordinateprecision;pointradiusspatialfit;footprintwkt;footprintsrs;footprintspatialfit;georeferencedby;georeferenceddate;georeferenceprotocol;georeferencesources;georeferenceverificationstatus;georeferenceremarks;geologicalcontextid;earliesteonorlowesteonothem;latesteonorhighesteonothem;earliesteraorlowesterathem;latesteraorhighesterathem;earliestperiodorlowestsystem;latestperiodorhighestsystem;earliestepochorlowestseries;latestepochorhighestseries;earliestageorloweststage;latestageorhigheststage;lowestbiostratigraphiczone;highestbiostratigraphiczone;lithostratigraphicterms;group;formation;member;bed;identificationid;identifiedby;identifiedbyid;dateidentified;identificationreferences;identificationremarks;identificationqualifier;identificationverificationstatus;typestatus;taxonid;scientificnameid;acceptednameusageid;parentnameusageid;originalnameusageid;nameaccordingtoid;namepublishedinid;taxonconceptid;acceptednameusage;parentnameusage;originalnameusage;nameaccordingto;namepublishedin;namepublishedinyear;higherclassification;specificepithet;infraspecificepithet;verbatimtaxonrank;scientificnameauthorship;vernacularname;nomenclaturalcode;taxonomicstatus;nomenclaturalstatus;taxonremarks
c8ee40f8-d1aa-46b4-976d-3fe02f600705;c24bf1c2-2c62-4056-a841-56d94e6e876a;-61;10;73094400000;73094400000;73094400000;1972;Sphyrna tudes;Sphyrna tudes;;;;{no_depth};f;f;14380;42;27.97;32.96;1;0;0;0;Species;105818;CR;Biota;;Animalia;;;Chordata;;;Vertebrata;Gnathostomata;Chondrichthyes;;;;Elasmobranchii;Neoselachii;Selachii;;Galeomorphi;Carcharhiniformes;;;;;Sphyrnidae;;;;;Sphyrna;;;;;Sphyrna tudes;;;;;;;;;;;;;;;;;;ROM;Ichthyology;;;PreservedSpecimen;;;;;;58701;;;Wood, H. E.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1972-04-26T12:00:00Z;;;;1972;4;26;;;A-9;;;;;;;;;;Trinidad and Tobago;;Trinidad;;;Gulf of Paria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ramshaw, W.;;19/03/1990;;;;;;;urn:lsid:marinespecies.org:taxname:105818;;;;;;;;;;;;;;;;;;;;;;
a5f0143d-361a-4b29-a68f-97684648cd35;9b787218-7138-4ffa-8ba6-36d63d391f8c;-54.90000153;6.341666698;;;;;Sphyrna tudes;Sphyrna tudes;;;;{no_depth};f;f;38845;24;27.46;34.04;1;0;0;0;Species;105818;CR;Biota;;Animalia;;;Chordata;;;Vertebrata;Gnathostomata;Chondrichthyes;;;;Elasmobranchii;Neoselachii;Selachii;;Galeomorphi;Carcharhiniformes;;;;;Sphyrnidae;;;;;Sphyrna;;;;;Sphyrna tudes;;;;;;;;;;;;;;;;;;USNM;Occurrence;;;PreservedSpecimen;;;;;;USNM 00159227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;South America;;;Suriname;;;;;ATLANTIC OFF SURINAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:105818;;;;;;;;;;;;;;;;;(Valenciennes, 1822);;;;;
4674efc4-064e-4d0d-ba85-df1b549e811f;9b787218-7138-4ffa-8ba6-36d63d391f8c;-16.85000038;14.14999962;;;;;Sphyrna tudes;Sphyrna tudes;;;;{no_depth};f;f;1377;2;24.45;34.2;1;0;0;0;Species;105818;CR;Biota;;Animalia;;;Chordata;;;Vertebrata;Gnathostomata;Chondrichthyes;;;;Elasmobranchii;Neoselachii;Selachii;;Galeomorphi;Carcharhiniformes;;;;;Sphyrnidae;;;;;Sphyrna;;;;;Sphyrna tudes;;;;;;;;;;;;;;;;;;MNHN;Occurrence;;;PreservedSpecimen;;;;;;MNHN AB-0234;1 piece (machoire)L.2,29m.44kg.renumerote:MNHN 1965-113;;cadenat;;;;;femelle;;;;;;crane machoires;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ab284;;;;;;;Africa;;;Senegal;;;;;joal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:105818;;;;;;;;;;;;;;;;;(Valenciennes, 1822);;;;;
08020f78-2007-4254-8b8c-cae6cf448be7;36fbc01b-72bd-42f0-af0a-e1701cddcf94;-16.85;14.15;;;;;Sphyrna tudes;Sphyrna tudes;;;0;{no_depth};f;f;1377;1;24.45;34.2;1;0;0;0;Species;105818;CR;Biota;;Animalia;;;Chordata;;;Vertebrata;Gnathostomata;Chondrichthyes;;;;Elasmobranchii;Neoselachii;Selachii;;Galeomorphi;Carcharhiniformes;;;;;Sphyrnidae;;;;;Sphyrna;;;;;Sphyrna tudes;;;;;;;Collection;;;CC BY 4.0;MNHN;;;;;8;;MNHN;IC;;;PreservedSpecimen;;;;;FN2-56814034-8-MNHN;AB-0234;;FN2-56814034-8-MNHN;cadenat;;;;;;;;;;present;;;;;;;;;;;;;;;;;;;;;1956-05-00;;;;;;;;;;;;;;;;;;;senegal;;;;;joal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:105818;;;;;;;;;;;;;;;;;;;;;;
dab52cf6-c422-4515-aa14-24768329b209;36fbc01b-72bd-42f0-af0a-e1701cddcf94;-16.85;14.15;;;;;Sphyrna tudes;Sphyrna tudes;;;1;{no_depth};f;f;1377;1;24.45;34.2;1;0;0;0;Species;105818;CR;Biota;;Animalia;;;Chordata;;;Vertebrata;Gnathostomata;Chondrichthyes;;;;Elasmobranchii;Neoselachii;Selachii;;Galeomorphi;Carcharhiniformes;;;;;Sphyrnidae;;;;;Sphyrna;;;;;Sphyrna tudes;;;;;;;Collection;;;CC BY 4.0;MNHN;;;;;8;;MNHN;IC;;;PreservedSpecimen;;;;;FN2-56823194-8-MNHN;AB-0235;;FN2-56823194-8-MNHN;cadenat;;;;;;;;;;present;;;;;;;;;;;;;;;;;;;;;0000-00-00;;;;;;;;;;;;;;;;;;;senegal;;;;;joal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:105818;;;;;;;;;;;;;;;;;;;;;;
01beb0ce-2cae-4007-baf8-2aa87b64300a;36fbc01b-72bd-42f0-af0a-e1701cddcf94;37.5;-21;;;;;Sphyrna tudes;Sphyrna tudes;;;10;{no_depth};f;f;216205;2937;26.55;35.05;1;0;0;0;Species;105818;CR;Biota;;Animalia;;;Chordata;;;Vertebrata;Gnathostomata;Chondrichthyes;;;;Elasmobranchii;Neoselachii;Selachii;;Galeomorphi;Carcharhiniformes;;;;;Sphyrnidae;;;;;Sphyrna;;;;;Sphyrna tudes;;;;;;;Collection;;;CC BY 4.0;MNHN;;;;;8;;MNHN;IC;;;PreservedSpecimen;;;;;FN2-56829376-8-MNHN;1908-0069;;FN2-56829376-8-MNHN;vasse;;1;;;;;;;;present;;;;;;;;;;;;;;;;;;;;;1908-00-00;;;;;;;;;;;;;;;;;;;mozambique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:105818;;;;;;;;;;;;;;;;;;;;;;
9deff912-cb47-437e-b92d-39ef6f24f683;36fbc01b-72bd-42f0-af0a-e1701cddcf94;-52.133;4.917;;;;;Sphyrna tudes;Sphyrna tudes;;;1;{no_depth};f;f;4462;7;27.8;24.62;1;0;0;0;Species;105818;CR;Biota;;Animalia;;;Chordata;;;Vertebrata;Gnathostomata;Chondrichthyes;;;;Elasmobranchii;Neoselachii;Selachii;;Galeomorphi;Carcharhiniformes;;;;;Sphyrnidae;;;;;Sphyrna;;;;;Sphyrna tudes;;;;;;;Collection;;;CC BY 4.0;MNHN;;;;;8;;MNHN;IC;;;PreservedSpecimen;;;;;FN2-56829890-8-MNHN;0000-1019;;FN2-56829890-8-MNHN;leblond;;1;;;;;;;;present;;;;;;;;;;;;;;;;;;;;;0000-00-00;;;;;;;;;;;;;;;;;;;guyane francaise;;;;;cayenne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:105818;;;;;;;;;;;;;;;;;;;;;;
a80fb94d-b0dd-41cc-8510-713c489bf2a9;b8617377-eb1c-4db2-baa6-8788a632e810;-61;10;73094400000;73094400000;73094400000;1972;Sphyrna tudes;Sphyrna tudes;;;;{no_depth};f;f;14380;42;27.97;32.96;1;0;0;0;Species;105818;CR;Biota;;Animalia;;;Chordata;;;Vertebrata;Gnathostomata;Chondrichthyes;;;;Elasmobranchii;Neoselachii;Selachii;;Galeomorphi;Carcharhiniformes;;;;;Sphyrnidae;;;;;Sphyrna;;;;;Sphyrna tudes;;;;;;;;;;;;;;;;;;ROM;Fishes;;;HumanObservation;;;observedindividualcount=1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
b289f372-259b-4641-a129-ecc95a6716cd;d6d6fe4c-425f-4ce7-bf28-7a6befaeb413;-55.09999847;6.400000095;;;;;Sphyrna tudes;Sphyrna tudes;;26;;{};f;f;45612;26;27.43;34.42;1;0;0;0;Species;105818;CR;Biota;;Animalia;;;Chordata;;;Vertebrata;Gnathostomata;Chondrichthyes;;;;Elasmobranchii;Neoselachii;Selachii;;Galeomorphi;Carcharhiniformes;;;;;Sphyrnidae;;;;;Sphyrna;;;;;Sphyrna tudes;;;;;;;;;;;;;Department of Vertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution;;;;;USNM;Vertebrate Zoology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
f5aa7485-9dbe-45be-8c55-1d1a0803f7b5;d6d6fe4c-425f-4ce7-bf28-7a6befaeb413;-88.09999847;29.89999962;-3.75E+11;-3.75E+11;-3.75E+11;1958;Sphyrna tudes;Sphyrna tudes;31;31;;{};f;f;32329;34;24.01;28.78;1;0;0;0;Species;105818;CR;Biota;;Animalia;;;Chordata;;;Vertebrata;Gnathostomata;Chondrichthyes;;;;Elasmobranchii;Neoselachii;Selachii;;Galeomorphi;Carcharhiniformes;;;;;Sphyrnidae;;;;;Sphyrna;;;;;Sphyrna tudes;;;;;;;;;;;;;Department of Vertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution;;;;;USNM;Vertebrate Zoology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
