source;long;lat
GBIF;-46.342946;-23.988901
GBIF;-42.27;-2.76
GBIF;-49;0.9
GBIF;-39.683333;-19.216667
GBIF;-56.75;6.25
GBIF;-56.75;6.25
GBIF;-49;0.9
GBIF;-55.125;6.433
GBIF;-54.8583;6.33333
GBIF;-55.092;6.367
GBIF;-55.092;6.367
GBIF;-55.125;6.433
GBIF;-61.034;10.5
GBIF;-61.034;10.5
GBIF;-61.034;10.5
GBIF;-61.034;10.5
GBIF;-61;10
GBIF;-57.883333;7.116667
GBIF;-57.3;6.566667
GBIF;-55.3;6.283333
GBIF;-43.173865;-22.902946
GBIF;-60.616667;10.7
GBIF;-60.616667;10.7
GBIF;-61.024386;10.705581
GBIF;-61.024386;10.705581
GBIF;-61.016667;10.516667
GBIF;-61.016667;10.516667
GBIF;-60.991852;10.712562
GBIF;-60.998186;10.536913
GBIF;-54.75;6.25
GBIF;-55.75;6.25
GBIF;-52.31062;4.932294
GBIF;-52.133;4.917
OBIS;-61;10
OBIS;-54.90000153;6.341666698
OBIS;-52.133;4.917
OBIS;-61;10
OBIS;-55.09999847;6.400000095
OBIS;-60.616667;10.7
OBIS;-60.616667;10.7
OBIS;-52.31062;4.932294
OBIS;-55.75;6.25
OBIS;-54.75;6.25
OBIS;-60.998186;10.536913
OBIS;-55.09999847;6.400000095
OBIS;-55.09999847;6.400000095
OBIS;-55.09999847;6.400000095
OBIS;-54.85833359;6.333333015
OBIS;-55;6
OBIS;-55;6
OBIS;-57;7
OBIS;-57;6
OBIS;-61;10
OBIS;-55;6
OBIS;-55;6
OBIS;-60.991852;10.712562
OBIS;-61.016667;10.516667
OBIS;-61.016667;10.516667
OBIS;-61.0243861;10.7055806
OBIS;-61.0243861;10.7055806
OBIS;-46.342946;-23.988901
OBIS;-43.231148;-23.078035
OBIS;-61;10
OBIS;-54.8583;6.33333
OBIS;-52.13299942;4.916999817
OBIS;-72.66999817;11.80000019
OBIS;-72.55999756;12
OBIS;-79.5667;8.8
FISHNET;-60.616667;10.7
FISHNET;-52.31062;4.932294
FISHNET;-55.75;6.25
FISHNET;-54.75;6.25
FISHNET;-60.998186;10.536913
literature;-39.260589;-17.916369
literature;-46.553775;-0.548057
literature;-47.589669;-0.20513
literature;-45.184627;-1.200214
literature;-44.41863;-1.748554
literature;-43.349567;-2.256903
literature;-44.701858;-1.292883
literature;-45.864627;-0.930738
literature;-50.924318;4.745832
literature;-50.637116;3.496918
literature;-50.342804;2.452612
literature;-49.401758;0.576272
NMNH;-55.125;6.433
NMNH;-54.8583;6.33333
NMNH;-55.092;6.367
NMNH;-55.092;6.367
NMNH;-70.263886;11.73511
literature;-61.13709;10.834838
literature;-60.966316;10.269054
literature;-63.805446;10.889588
