long	lat
-46.342946	-23.988901
-42.27	-2.76
-49	0.9
-39.683333	-19.216667
-56.75	6.25
-56.75	6.25
-49	0.9
-55.125	6.433
-54.8583	6.33333
-55.092	6.367
-55.092	6.367
-55.125	6.433
-61.034	10.5
-61.034	10.5
-61.034	10.5
-61.034	10.5
-61	10
-57.883333	7.116667
-57.3	6.566667
-55.3	6.283333
-43.173865	-22.902946
-60.616667	10.7
-60.616667	10.7
-61.024386	10.705581
-61.024386	10.705581
-61.016667	10.516667
-61.016667	10.516667
-60.991852	10.712562
-60.998186	10.536913
-54.75	6.25
-55.75	6.25
-52.31062	4.932294
-52.133	4.917
-61	10
-54.90000153	6.341666698
-52.133	4.917
-61	10
-55.09999847	6.400000095
-60.616667	10.7
-60.616667	10.7
-52.31062	4.932294
-55.75	6.25
-54.75	6.25
-60.998186	10.536913
-55.09999847	6.400000095
-55.09999847	6.400000095
-55.09999847	6.400000095
-54.85833359	6.333333015
-55	6
-55	6
-57	7
-57	6
-61	10
-55	6
-55	6
-60.991852	10.712562
-61.016667	10.516667
-61.016667	10.516667
-61.0243861	10.7055806
-61.0243861	10.7055806
-46.342946	-23.988901
-43.231148	-23.078035
-61	10
-54.8583	6.33333
-52.13299942	4.916999817
-72.66999817	11.80000019
-72.55999756	12
-79.5667	8.8
-60.616667	10.7
-52.31062	4.932294
-55.75	6.25
-54.75	6.25
-60.998186	10.536913
-39.260589	-17.916369
-46.553775	-0.548057
-47.589669	-0.20513
-45.184627	-1.200214
-44.41863	-1.748554
-43.349567	-2.256903
-44.701858	-1.292883
-45.864627	-0.930738
-50.924318	4.745832
-50.637116	3.496918
-50.342804	2.452612
-49.401758	0.576272
-55.125	6.433
-54.8583	6.33333
-55.092	6.367
-55.092	6.367
-70.263886	11.73511
-61.13709	10.834838
-60.966316	10.269054
-63.805446	10.889588
