gbifID;datasetKey;occurrenceID;kingdom;phylum;class;order;family;genus;species;infraspecificEpithet;taxonRank;scientificName;verbatimScientificName;verbatimScientificNameAuthorship;countryCode;locality;stateProvince;occurrenceStatus;individualCount;publishingOrgKey;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;elevation;elevationAccuracy;depth;depthAccuracy;eventDate;day;month;year;taxonKey;speciesKey;basisOfRecord;institutionCode;collectionCode;catalogNumber;recordNumber;identifiedBy;dateIdentified;license;rightsHolder;recordedBy;typeStatus;establishmentMeans;lastInterpreted;mediaType;issue;;;;;;;
3426470938;5d6c10bd-ea31-4363-8b79-58c96d859f5b;urn:catalog:CAS:SU(ICH):52875;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Sphyrna tudes;;BR;Santos; litoral de Sao Paulo.;Sao Paulo;PRESENT;-23.988901;-46.342946;;;15000;;;;;;1944-05-06T00:00:00;6;5;1944;2418813;2418813;PRESERVED_SPECIMEN;CAS;SU(ICH);52875;;Compagno; L. J. V.;;CC0_1_0;;;;;2022-01-11T23:36:48.075Z;;GEODETIC_DATUM_ASSUMED_WGS84;;;;
3351177514;d8cd16ba-bb74-4420-821e-083f2bac17c2;MF740888;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Sphyrna tudes;;BR;;;PRESENT;;-2.76;-42.27;;;;;;;;2015-09-12T00:00:00;12;9;2015;2418813;2418813;MATERIAL_SAMPLE;;;;;;;CC_BY_4_0;;L. Feitosa;;;2021-12-02T15:34:07.301Z;;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;
3351156428;d8cd16ba-bb74-4420-821e-083f2bac17c2;MF686572;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Sphyrna tudes;;BR;;;PRESENT;;0.9;-52;;;;;;;;2007-01-01T00:00:00;1;1;2007;2418813;2418813;MATERIAL_SAMPLE;;;;;;;CC_BY_4_0;;L. Rodrigues;;;2021-12-02T15:34:07.162Z;;GEODETIC_DATUM_ASSUMED_WGS84;;;;;;
3346500815;d8cd16ba-bb74-4420-821e-083f2bac17c2;FJ519524;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Sphyrna tudes;;TT;;;PRESENT;;;;;;;;;;;2002-07-16T00:00:00;16;7;2002;2418813;2418813;PRESERVED_SPECIMEN;;;SOSSRC:Sphyrna tudes OC-1;;;;CC_BY_4_0;;;;;2021-12-02T15:33:28.730Z;;;;;;;;
3025807827;8138eb72-f762-11e1-a439-00145eb45e9a;https://darwin.naturalsciences.be/uri/object/e76c0f45-b7a8-4ef7-a9f5-2e8b004bd3ae;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Sphyrna tudes (Valenciennes; 1822);(Valenciennes; 1822);US;;;;;;;;;;;;;;;;;;2418813;2418813;PRESERVED_SPECIMEN;RBINS-Scientific Heritage;urn:catalog:RBINS:pisc;59C;;;;CC_BY_NC_4_0;Royal Belgian Institute of Natural Sciences;Zoological Research Supply; Englewood;;;2021-12-02T09:31:43.189Z;;TYPE_STATUS_INVALID;;;
3024439308;b93edff8-66e2-43d5-9020-3f6a6379c3ed;https://darwin.naturalsciences.be/uri/object/e76c0f45-b7a8-4ef7-a9f5-2e8b004bd3ae;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Sphyrna tudes (Valenciennes; 1822);(Valenciennes; 1822);US;;;;;;;;;;;;;;;;;;2418813;2418813;PRESERVED_SPECIMEN;RBINS-Scientific Heritage;urn:catalog:RBINS:pisc;59C;;;;CC_BY_NC_4_0;Royal Belgian Institute of Natural Sciences;Zoological Research Supply; Englewood;;;2021-12-02T09:44:42.802Z;;TYPE_STATUS_INVALID;;;
2973815903;c0e8647d-dd4b-4300-8ad1-8c362fb21d75;BRA:UNICAMP:ZUEC-PIS:3305;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Sphyrna tudes;;BR;Praia do Degredo;Espírito Santo;PRESENT;;-19.216667;-39.683333;;;;;;;;1990-02-01T00:00:00;1;2;1990;2418813;2418813;PRESERVED_SPECIMEN;UNICAMP;ZUEC-PIS;3305;;;;CC_BY_NC_4_0;ZUEC-PIS - Coleção de Peixes do Museu de Zoologia da UNICAMP;V. H. Gasparini;;;2022-01-03T12:19:41.614Z;;COORDINATE_ROUNDED;;;;;;
2831946822;19828488-7ebf-43f8-88af-6461d8afef9e;https://data.biodiversitydata.nl/naturalis/specimen/RMNH.PISC.38126;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Sphyrna tudes (Valenciennes; 1822);(Valenciennes; 1822);SR;Continental shelf;;;;;;;;;;;;;1966-06-29T00:00:00;29;6;1966;2418813;2418813;PRESERVED_SPECIMEN;;Pisces;RMNH.PISC.38126;;;;CC0_1_0;Naturalis Biodiversity Center;W. Vervoort;;;2021-12-13T04:52:34.640Z;;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;;;;
2831945729;19828488-7ebf-43f8-88af-6461d8afef9e;https://data.biodiversitydata.nl/naturalis/specimen/RMNH.PISC.34871;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Sphyrna tudes (Valenciennes; 1822);Sphyrna tudes (Valenciennes; 1822);(Valenciennes; 1822);SR;10 miles E. and 5 miles W. of the lightschip.;;;;;;;;;;;;;1971-04-28T00:00:00;28;4;1971;2418813;2418813;PRESERVED_SPECIMEN;;Pisces;RMNH.PISC.34871;;;;CC0_1_0;Naturalis Biodiversity Center;P. Staffeleu;;;2021-12-13T04:52:32.731Z;StillImage;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;;;;
2831937036;19828488-7ebf-43f8-88af-6461d8afef9e;https://data.biodiversitydata.nl/naturalis/specimen/RMNH.PISC.16170;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Sphyrnidae;Sphyrna;Sphyrna tudes;;SPECIES;Zygaena tudes Valenciennes;1822;Zygaena tudes Cuvier;Cuvier;SR;;;PRESENT;1;;;;;;;;;;;;;;5215655;2418813;PRESERVED_SPECIMEN;;Pisces;RMNH.PISC.16170;;;;CC0_1_0;Naturalis Biodiversity Center;;;;2021-12-13T04:52:32.528Z;;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;;;;;;
