"bioclim"	"gower"	"maha"	"maxent"
0.05253158	0.13400049	-49.88107133	0.60185994
0.05253158	0.14179318	-66.07941882	0.54245146
0.05253158	0.18152626	-29.10237529	0.57381149
0.05253158	0.15822658	-38.89682235	0.56102862
0.05253158	0.20946331	-28.70025038	0.5297546
0.05253158	0.15656868	-485.15106455	0.35530816
0.05253158	0.19579992	-55.71113068	0.54248412
0.05253158	0.23920179	-26.30364268	0.55838193
0.10516316	0.08928358	-51.34309328	0.0261187
0.05253158	0.06514732	-128.07046716	0.35796587
0.05253158	0.18256516	-27.79184546	0.51706346
0.05253158	0.12715	-192.0090591	0.51649441
0.10516316	0.21869549	-588.75603884	0.54161789
0.05253158	0.1346332	-46.36582378	0.02586225
0.10516316	0.09042011	-35.10669058	0.02684693
0.05253158	0.1996621	-26.50679102	0.51183386
0.05253158	0.20704414	-36.66051425	0.59576906
0.05253158	0.22389743	-26.71327593	0.65288015
0.05253158	0.18736254	-32.15413342	0.52161946
0.05253158	0.22517236	-58.75841578	0.0213737
