"bioclim"	"gower"	"maha"	"maxent"
0.0624	0.1951984	-5.74903365	0.48375882
0.0624	0.51713246	-8.48675074	0.43748044
0.0624	0.10806477	-3.57957035	0.6004587
0.0624	0.21536623	-3.21850651	0.46371614
0.0624	0.14105038	-2.23987002	0.49049987
0.0624	0.16753382	-4.08653961	0.46524151
0.0624	0.24894929	-3.58709424	0.60551341
0.0624	0.41061279	-3.40868288	0.66330578
0.0624	0.14528292	-19.19753321	0.48988401
0.0624	0.21067457	-3.54232922	0.53596588
0.0624	0.5086168	-1.81979635	0.5047784
0.0624	0.51335696	-6.49977233	0.47270502
0.0624	0.35981428	-4.38836578	0.34244923
0.0624	0.21927475	-4.18249629	0.46192618
0.1249	0.15595334	-4.0868615	0.66000916
0.0624	0.5666748	-14.98636528	0.63055511
0.0624	0.38379648	-2.96164804	0.60026826
0.0624	0.67083478	-12.39252894	0.63241084
0.1249	0.47607671	-3.27995798	0.61191018
0.2499	0.12346218	-21.42936751	0.40873234
