"bioclim"	"gower"	"maha"	"maxent"
0.0624	0.09633787	-27.48976786	0.39224337
0.0624	0.05320752	-98.76581679	0.54379226
0.0624	0.32711804	-6.89909187	0.63294442
0.1249	0.10516138	-40.39134101	0.02666417
0.0624	0.18676683	-14.82731646	0.49253418
0.0624	0.26978133	-15.42393248	0.6085477
0.0624	0.154648	-9.68121768	0.13663122
0.0624	0.15723837	-40.80910111	0.43478282
0.0624	0.12379262	-16.50884742	0.02546168
0.0624	0.14412081	-175.58972087	0.02780015
0.1249	0.20545349	-34.35111833	0.64382787
0.1249	0.04654137	-128.86314402	0.02638427
0.0624	0.16772417	-94.53752078	0.43720125
0.0624	0.14918198	-40.76831753	0.15409297
0.03115	0.32579688	-47.00065151	0.65049131
0.0624	0.13070509	-45.20712937	0.48215299
0.0624	0.07016726	-97.44589335	0.13590402
0.0624	0.20283616	-126.53285322	0.11355686
0.0624	0.46804733	-128.98269989	0.13086187
0.0624	0.16284334	-55.45539245	0.67574664
