variable;bioclim;gower;maha;maxent
final_model;0.727272727;0.950413223;0.991735537;1
final_model;0.863636364;0.966942149;1;0.94214876
final_model;0.818181818;1;1;1
final_model;0.863636364;1;1;1
final_model;0.727272727;0.909090909;0.991735537;1
final_model;0.863636364;1;1;1
final_model;0.863636364;0.909090909;0.983471074;1
final_model;0.772727273;0.904958678;0.983471074;0.991735537
final_model;0.818181818;0.876033058;0.975206612;0.991735537
final_model;0.818181818;0.991735537;1;1
final_model;0.863636364;1;1;1
final_model;0.818181818;0.966942149;1;0.966942149
final_model;0.772727273;0.954545455;0.991735537;0.966942149
final_model;0.909090909;1;1;1
final_model;0.818181818;0.983471074;1;1
final_model;0.772727273;0.801652893;0.966942149;0.991735537
final_model;0.818181818;0.91322314;0.983471074;0.950413223
final_model;0.727272727;0.954545455;0.975206612;1
final_model;0.863636364;0.975206612;0.991735537;0.991735537
final_model;0.909090909;1;1;1
