variable;bioclim;gower;maha;maxent
pres_comparison;0.648760331;0.747933884;0.892561983;0.917355372
pres_comparison;0.909090909;0.884297521;1;1
pres_comparison;0.818181818;0.909090909;0.983471074;1
pres_comparison;0.896694215;0.79338843;0.975206612;0.925619835
pres_comparison;0.772727273;0.768595041;0.933884298;1
pres_comparison;0.818181818;0.876033058;0.933884298;1
pres_comparison;1;0.909090909;0.991735537;1
pres_comparison;0.900826446;0.859504132;0.991735537;0.933884298
pres_comparison;0.876033058;0.876033058;0.966942149;0.94214876
pres_comparison;0.909090909;0.917355372;0.991735537;1
pres_comparison;0.727272727;0.450413223;0.851239669;1
pres_comparison;0.909090909;0.814049587;0.950413223;1
pres_comparison;0.818181818;0.818181818;0.966942149;1
pres_comparison;0.909090909;0.834710744;0.991735537;1
pres_comparison;0.636363636;0.698347107;0.925619835;1
pres_comparison;0.818181818;0.904958678;0.933884298;1
pres_comparison;0.818181818;0.694214876;0.909090909;1
pres_comparison;0.909090909;0.94214876;1;1
pres_comparison;0.772727273;0.665289256;0.851239669;1
pres_comparison;0.863636364;0.892561983;0.975206612;1
